# FONLL heavy quark hadroproduction cross section, calculated on Wed Jan 21 16:03:00 CET 2026
# FONLL version and perturbative order: ## FONLL v1.4.0 fonll [ds/dpt^2dy (pb/GeV^2)]
# quark = charm
# final state = meson (meson = D0). NP params (cm,lm,hm) = 0.1, 0.06, 0.135
# BR(q->meson) = 1
# ebeam1 = 2680, ebeam2 = 2680
# PDF set = NNPDF30_nlo_as_0118
# ptmin = 0
# ptmax = 50
# ymin  = -0.5
# ymax  = 0.5
# Uncertainties from scales, masses combined quadratically
# cross section is ds/dpt (pb/GeV)
pt central min max min_sc max_sc min_mass max_mass fr=.5.5 fr=22 fr=21 fr=12 fr=1.5 fr=.51
9.2965 1.3763e+06 1.0314e+06 1.9123e+06 1.0506e+06 1.8905e+06 1.2628e+06 1.5276e+06 1.6233e+06 1.2109e+06 1.5533e+06 1.0506e+06 1.8905e+06 1.1357e+06
9.5477 1.2292e+06 9.2554e+05 1.6976e+06 9.4204e+05 1.6786e+06 1.1305e+06 1.3611e+06 1.4500e+06 1.0812e+06 1.3822e+06 9.4204e+05 1.6786e+06 1.0209e+06
9.7990 1.1002e+06 8.3216e+05 1.5105e+06 8.4636e+05 1.4940e+06 1.0141e+06 1.2155e+06 1.2978e+06 9.6758e+05 1.2329e+06 8.4636e+05 1.4940e+06 9.1935e+05
10.0503 9.8688e+05 7.4964e+05 1.3472e+06 7.6190e+05 1.3328e+06 9.1158e+05 1.0878e+06 1.1640e+06 8.6776e+05 1.1022e+06 7.6190e+05 1.3328e+06 8.2943e+05
10.3015 8.8702e+05 6.7655e+05 1.2043e+06 6.8717e+05 1.1916e+06 8.2100e+05 9.7575e+05 1.0461e+06 7.7986e+05 9.8750e+05 6.8717e+05 1.1916e+06 7.4962e+05
10.5528 7.9884e+05 6.1169e+05 1.0788e+06 6.2091e+05 1.0677e+06 7.4082e+05 8.7702e+05 9.4200e+05 7.0227e+05 8.8660e+05 6.2091e+05 1.0677e+06 6.7864e+05
10.8040 7.2079e+05 5.5400e+05 9.6851e+05 5.6202e+05 9.5869e+05 6.6968e+05 7.8985e+05 8.4980e+05 6.3362e+05 7.9762e+05 5.6202e+05 9.5869e+05 6.1539e+05
11.0553 6.5156e+05 5.0259e+05 8.7126e+05 5.0959e+05 8.6257e+05 6.0642e+05 7.1271e+05 7.6799e+05 5.7274e+05 7.1897e+05 5.0959e+05 8.6257e+05 5.5893e+05
11.3065 5.9000e+05 4.5669e+05 7.8533e+05 4.6281e+05 7.7764e+05 5.5006e+05 6.4428e+05 6.9522e+05 5.1862e+05 6.4930e+05 4.6281e+05 7.7764e+05 5.0844e+05
11.5578 5.3516e+05 4.1563e+05 7.0927e+05 4.2100e+05 7.0244e+05 4.9973e+05 5.8345e+05 6.3038e+05 4.7043e+05 5.8744e+05 4.2100e+05 7.0244e+05 4.6320e+05
11.8090 4.8621e+05 3.7884e+05 6.4179e+05 3.8357e+05 6.3572e+05 4.5472e+05 5.2926e+05 5.7248e+05 4.2741e+05 5.3242e+05 3.8357e+05 6.3572e+05 4.2260e+05
