# FONLL heavy quark hadroproduction cross section, calculated on Wed Jan 21 16:45:22 CET 2026
# FONLL version and perturbative order: ## FONLL v1.4.0 fonll [ds/dpt^2dy (pb/GeV^2)]
# quark = bottom
# final state = meson. NP params (cm,lm,hm) = 24.2, 26.7, 22.2
# BR(q->meson) = 1
# ebeam1 = 2680, ebeam2 = 2680
# PDF set = NNPDF30_nlo_as_0118
# ptmin = 0
# ptmax = 100
# ymin  = -0.5
# ymax  = 0.5
# Uncertainties from scales, masses combined quadratically
# cross section is ds/dpt (pb/GeV)
pt central min max min_sc max_sc min_mass max_mass fr=.5.5 fr=22 fr=21 fr=12 fr=1.5 fr=.51
14.7870 2.1330e+05 1.6575e+05 2.8358e+05 1.6728e+05 2.8241e+05 2.0134e+05 2.2605e+05 2.4857e+05 1.8909e+05 2.3683e+05 1.6728e+05 2.8241e+05 1.8148e+05
15.0376 2.0087e+05 1.5635e+05 2.6647e+05 1.5776e+05 2.6539e+05 1.8976e+05 2.1269e+05 2.3415e+05 1.7802e+05 2.2267e+05 1.5776e+05 2.6539e+05 1.7135e+05
15.2882 1.8926e+05 1.4756e+05 2.5054e+05 1.4886e+05 2.4954e+05 1.7894e+05 2.0023e+05 2.2067e+05 1.6768e+05 2.0949e+05 1.4886e+05 2.4954e+05 1.6186e+05
15.5388 1.7842e+05 1.3933e+05 2.3569e+05 1.4053e+05 2.3478e+05 1.6882e+05 1.8861e+05 2.0807e+05 1.5804e+05 1.9720e+05 1.4053e+05 2.3478e+05 1.5298e+05
15.7895 1.6828e+05 1.3163e+05 2.2185e+05 1.3274e+05 2.2101e+05 1.5936e+05 1.7775e+05 1.9629e+05 1.4903e+05 1.8574e+05 1.3274e+05 2.2101e+05 1.4464e+05
16.0401 1.5881e+05 1.2442e+05 2.0894e+05 1.2544e+05 2.0816e+05 1.5050e+05 1.6761e+05 1.8526e+05 1.4061e+05 1.7504e+05 1.2544e+05 2.0816e+05 1.3682e+05
16.2907 1.4994e+05 1.1766e+05 1.9689e+05 1.1860e+05 1.9617e+05 1.4220e+05 1.5813e+05 1.7494e+05 1.3274e+05 1.6504e+05 1.1860e+05 1.9617e+05 1.2949e+05
16.5414 1.4164e+05 1.1132e+05 1.8563e+05 1.1219e+05 1.8496e+05 1.3443e+05 1.4927e+05 1.6528e+05 1.2537e+05 1.5570e+05 1.1219e+05 1.8496e+05 1.2260e+05
16.7920 1.3387e+05 1.0537e+05 1.7510e+05 1.0618e+05 1.7449e+05 1.2714e+05 1.4098e+05 1.5622e+05 1.1848e+05 1.4697e+05 1.0618e+05 1.7449e+05 1.1613e+05
17.0426 1.2659e+05 9.9795e+04 1.6526e+05 1.0054e+05 1.6469e+05 1.2031e+05 1.3322e+05 1.4773e+05 1.1202e+05 1.3880e+05 1.0054e+05 1.6469e+05 1.1006e+05
17.2932 1.1977e+05 9.4558e+04 1.5606e+05 9.5250e+04 1.5553e+05 1.1390e+05 1.2594e+05 1.3976e+05 1.0598e+05 1.3116e+05 9.5250e+04 1.5553e+05 1.0435e+05
17.5439 1.1337e+05 8.9639e+04 1.4744e+05 9.0282e+04 1.4695e+05 1.0788e+05 1.1913e+05 1.3229e+05 1.0030e+05 1.2399e+05 9.0282e+04 1.4695e+05 9.8979e+04
17.7945 1.0736e+05 8.5018e+04 1.3937e+05 8.5614e+04 1.3891e+05 1.0224e+05 1.1275e+05 1.2528e+05 9.4988e+04 1.1728e+05 8.5614e+04 1.3891e+05 9.3929e+04
18.0451 1.0172e+05 8.0671e+04 1.3180e+05 8.1224e+04 1.3138e+05 9.6928e+04 1.0676e+05 1.1869e+05 8.9997e+04 1.1099e+05 8.1224e+04 1.3138e+05 8.9175e+04
