pT v2min v2max boh boh boh boh
29.4000000 0.0035714 0.0146488 0.0127065 0.0127065 0.0122562 0.0128179
29.2000000 0.0035812 0.0147478 0.0126806 0.0126806 0.0122226 0.0128000
29.8000000 0.0035513 0.0144499 0.0127595 0.0127595 0.0123242 0.0128558
29.6000000 0.0035614 0.0145495 0.0127328 0.0127328 0.0122900 0.0128365
30.2000000 0.0035305 0.0142498 0.0128145 0.0128146 0.0123938 0.0128970
30.0000000 0.0035409 0.0143500 0.0127867 0.0127867 0.0123587 0.0128759
30.6000000 0.0035090 0.0140486 0.0128724 0.0128724 0.0124655 0.0129419
30.4000000 0.0035198 0.0141494 0.0128431 0.0128431 0.0124293 0.0129189
31.0000000 0.0034869 0.0138463 0.0129334 0.0129334 0.0125399 0.0129908
30.8000000 0.0034980 0.0139476 0.0129025 0.0129025 0.0125024 0.0129658
31.4000000 0.0034641 0.0136428 0.0129979 0.0129979 0.0126170 0.0130440
31.2000000 0.0034756 0.0137447 0.0129652 0.0129652 0.0125781 0.0130168
31.8000000 0.0034406 0.0134382 0.0130657 0.0130658 0.0126970 0.0131013
31.6000000 0.0034524 0.0135406 0.0130314 0.0130314 0.0126566 0.0130721
32.2000000 0.0034163 0.0132324 0.0131370 0.0131370 0.0127798 0.0131627
32.0000000 0.0034285 0.0133354 0.0131009 0.0131010 0.0127380 0.0131315
32.6000000 0.0033914 0.0130256 0.0132115 0.0132115 0.0128653 0.0132280
32.4000000 0.0034040 0.0131292 0.0131739 0.0131739 0.0128222 0.0131949
33.0000000 0.0033657 0.0128177 0.0132890 0.0132890 0.0129532 0.0132969
32.8000000 0.0033786 0.0129218 0.0132499 0.0132499 0.0129089 0.0132620
33.4000000 0.0033393 0.0126087 0.0133690 0.0133690 0.0130432 0.0133689
33.2000000 0.0033526 0.0127133 0.0133287 0.0133287 0.0129980 0.0133326
33.8000000 0.0033121 0.0123986 0.0134510 0.0134511 0.0131348 0.0134435
33.6000000 0.0033258 0.0125038 0.0134098 0.0134098 0.0130889 0.0134059
34.2000000 0.0032843 0.0121875 0.0135349 0.0135349 0.0132278 0.0135203
34.0000000 0.0032983 0.0122932 0.0134928 0.0134928 0.0131812 0.0134816
34.6000000 0.0032559 0.0119755 0.0136204 0.0136205 0.0133222 0.0135993
34.4000000 0.0032702 0.0120816 0.0135775 0.0135775 0.0132749 0.0135596
35.0000000 0.0032267 0.0117626 0.0137074 0.0137074 0.0134176 0.0136802
34.8000000 0.0032414 0.0118692 0.0136638 0.0136638 0.0133698 0.0136396
35.4000000 0.0031969 0.0115488 0.0137956 0.0137956 0.0135139 0.0137627
35.2000000 0.0032119 0.0116558 0.0137514 0.0137514 0.0134656 0.0137213
35.8000000 0.0031664 0.0113340 0.0138850 0.0138850 0.0136112 0.0138468
35.6000000 0.0031818 0.0114415 0.0138402 0.0138402 0.0135625 0.0138046
36.2000000 0.0031352 0.0111183 0.0139747 0.0139748 0.0137085 0.0139317
36.0000000 0.0031509 0.0112263 0.0139299 0.0139299 0.0136599 0.0138892
36.6000000 0.0031033 0.0109015 0.0140630 0.0140630 0.0138041 0.0140155
36.4000000 0.0031194 0.0110101 0.0140193 0.0140194 0.0137568 0.0139740
37.0000000 0.0030714 0.0106849 0.0141510 0.0141510 0.0138995 0.0140990
36.8000000 0.0030870 0.0107928 0.0141060 0.0141060 0.0138507 0.0140564
37.4000000 0.0030396 0.0104684 0.0142409 0.0142410 0.0139968 0.0141845
37.2000000 0.0030556 0.0105768 0.0141960 0.0141960 0.0139482 0.0141417
37.8000000 0.0030069 0.0102506 0.0143302 0.0143302 0.0140932 0.0142698
37.6000000 0.0030234 0.0103596 0.0142857 0.0142857 0.0140452 0.0142273
38.2000000 0.0029735 0.0100320 0.0144180 0.0144181 0.0141879 0.0143541
38.0000000 0.0029903 0.0101414 0.0143742 0.0143743 0.0141407 0.0143121
38.6000000 0.0029395 0.0098124 0.0145059 0.0145059 0.0142825 0.0144388
38.4000000 0.0029566 0.0099223 0.0144619 0.0144620 0.0142353 0.0143964
39.0000000 0.0029042 0.0095912 0.0145927 0.0145927 0.0143757 0.0145230
38.8000000 0.0029220 0.0097020 0.0145496 0.0145496 0.0143295 0.0144811
39.4000000 0.0028672 0.0093679 0.0146715 0.0146716 0.0144607 0.0145998
39.2000000 0.0028859 0.0094799 0.0146344 0.0146344 0.0144204 0.0145635
39.8000000 0.0028281 0.0091421 0.0147199 0.0147199 0.0145153 0.0146472
39.6000000 0.0028479 0.0092553 0.0147000 0.0147000 0.0144923 0.0146277
